"","990
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
098","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","119","",".",".",".",".",".",".",".","96.6",".",".",".","3.4",".",".",".","."
"PHYSICS
754","Dept. Total","2755","3.117","27.3","20.3","21.5","12.9","10.5","2.0","0.8","4.3",".",".",".","0.1",".","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","224","3.036","25.0","16.5","25.9","17.0","10.3","4.5","0.4",".",".",".",".",".",".",".",".","0.4"
"Sophomore","","691","3.023","21.9","20.4","24.3","16.5","13.3","3.0","0.6",".",".",".",".",".",".",".",".","."
"Junior","","844","3.131","28.3","21.9","21.3","14.0","11.7","1.9","0.6",".",".",".",".",".",".",".",".","0.2"
"Senior","","682","3.135","28.6","22.6","23.3","11.7","10.6","1.3","1.3","0.1",".",".",".",".",".",".","0.3","0.1"
"Undergraduates","","2441","3.091","26.3","21.2","23.1","14.3","11.7","2.3","0.8","0.0",".",".",".",".",".",".","0.1","0.2"
"Special","","32","2.882","9.4","31.3","15.6","15.6","9.4",".","6.3","9.4",".",".",".",".",".","3.1",".","."
"Graduate","","283","3.706","37.8","11.0","8.1",".","0.4",".","0.4","41.0",".",".",".","1.4",".",".",".","."
"","Dept. Total","2756","3.117","27.2","20.2","21.5","12.9","10.5","2.0","0.8","4.4",".",".",".","0.1",".","0.0","0.1","0.1"
