"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","6","2.917","33.3","16.7","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"101","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"102","002","","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","24","3.667","58.3","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"104","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","14","3.286","21.4","35.7","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","20","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"201","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","10","3.788","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","7","3.625","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","9","3.500","11.1","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","229","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","265","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","36","3.756","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","8","3.900","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
