"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.963","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"812","061","","20","3.625","30.0","65.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","20","3.626","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","21","3.500","9.5","81.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","81","3.599","28.4","63.0","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928
ObGyn Outptnt Clrk-LaCrosse","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","3.612","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
