"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","41","3.756","68.3","29.3",".",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","80","3.394","51.3","18.8","15.0","5.0","3.8","3.8","2.5",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","72","3.861","77.8","19.4","1.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","33","3.636","48.5","36.4","12.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","33","3.636","48.5","36.4","12.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","28","3.196","28.6","14.3","35.7","10.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","","12","3.500","25.0","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","32","3.414","34.4","25.0","25.0",".","3.1","3.1",".","3.1",".",".",".",".",".",".","6.3","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","52","3.952","90.4","9.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","56","3.800","64.3","28.6","5.4",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","18","2.912","22.2","11.1","38.9","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","5.6"
"Patient Safety&Error Reduction","559","001","","33","3.719","54.5","30.3","12.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","22","3.159","18.2","31.8","40.9",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","","7","3.000","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".","28.6",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","30","3.683","56.7","23.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","22","3.114","31.8","18.2","22.7","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","","19","3.632","57.9","15.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","22","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","001","","32","3.797","59.4","40.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","44","3.939","86.4","4.5","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization II","730","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
