"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Where Science Meets Society","201
001","","25","3.360","48.0","16.0","24.0",".","","4.0","8.0",".","",".","",".","",".",".","",".","",".","",".",".","."
"Current Topics-Sci & Tech St","902
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"STS
875","Dept. Total","","30","3.360","40.0","13.3","20.0","",".","3.3","6.7","",".","",".","",".","16.7","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","8","3.813","75.0","12.5","12.5","",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","16","3.094","31.3","18.8","31.3","",".","6.3","12.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","25","3.360","48.0","16.0","24.0","",".","4.0","8.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","5","",".",".",".","",".",".",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"","Dept. Total","","30","3.360","40.0","13.3","20.0","",".","3.3","6.7","",".","",".","",".","16.7","",".","",".","",".",".",".","."
