"Smr: Portuguese Literature","","","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","899
007","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Smr-Latin American Area","982
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Thesis","990
032","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PORTUG
782","Dept. Total","150","3.232","37.3","18.7","17.3","4.7","12.0","3.3","",".","4.0","0.7",".","",".","",".","0.7","0.7",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.100","21.4","28.6","21.4","7.1","21.4",".","",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","32","3.100","28.1","28.1","12.5","6.3","15.6","6.3","",".",".",".",".","",".","",".",".",".",".","3.1"
"Junior","","29","2.938","27.6","13.8","27.6","6.9","17.2","6.9","",".",".",".",".","",".","",".",".",".",".","."
"Senior","","40","3.305","40.0","15.0","22.5","5.0","12.5",".","",".","2.5","2.5",".","",".","",".",".",".",".","."
"Undergraduates","","115","3.126","31.3","20.0","20.9","6.1","15.7","3.5","",".","0.9","0.9",".","",".","",".",".",".",".","0.9"
"Special","","5","4.000","20.0",".",".",".",".",".","",".","60.0",".",".","",".","",".",".","20.0",".","."
"Graduate","","30","3.701","63.3","16.7","6.7",".",".","3.3","",".","6.7",".",".","",".","",".","3.3",".",".","."
"","Dept. Total","150","3.232","37.3","18.7","17.3","4.7","12.0","3.3","",".","4.0","0.7",".","",".","",".","0.7","0.7",".","0.7"
