"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Filipino","306","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","308","001","","24","3.688","70.8","20.8","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","310","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","318","001","","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","320","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","322","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Uzbek","344","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354","002","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Second Semester Hindi","","Course Total","","18","3.912","77.8","16.7",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Second Semester Persian","364","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","370","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","372","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Filipino","406","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong","408","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Indonesian","410","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","418","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Vietnamese","420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Uzbek","444","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi","454","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Persian","464","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Urdu","472","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hmong","508","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Indonesian","510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Thai","518","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","520","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Uzbek","544","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hindi","554","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Persian","564","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Urdu","572","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Thai Lit: The Novel","616","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Advanced Readings in Tibetan","677","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
