"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","235","2.539","11.5","15.7","14.0","16.2","26.8","10.2","3.0","2.6",".",".",".",".",".",".",".","."
"Beginning Swimming","102
001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","18","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".","22.2","."
"","125
002","17","4.000","5.9",".",".",".",".",".",".","88.2",".",".",".",".",".",".","5.9","."
"","125
003","14","4.000","7.1",".",".",".",".",".",".","71.4",".",".",".",".",".",".","21.4","."
"","125
004","15","4.000","6.7",".",".",".",".",".",".","86.7",".",".",".",".",".",".","6.7","."
"Adapted Fitness&Pers Traing","Course Total","64","4.000","4.7",".",".",".",".",".",".","81.3",".",".",".",".",".",".","14.1","."
"","127
001","22","3.462","13.6","27.3","18.2",".",".",".",".","40.9",".",".",".",".",".",".",".","."
"","127
002","21","3.500","19.0","52.4","9.5","4.8",".",".",".","14.3",".",".",".",".",".",".",".","."
"","127
003","18","3.375","11.1","27.8","27.8",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","127
004","18","3.357","11.1","16.7",".","11.1",".",".",".","61.1",".",".",".",".",".",".",".","."
"Bowling I","Course Total","79","3.440","13.9","31.6","13.9","3.8",".",".",".","36.7",".",".",".",".",".",".",".","."
"","129
001","26","3.375","19.2","42.3","23.1","3.8","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"","129
002","23","3.395","39.1","13.0","17.4","8.7",".","4.3",".","17.4",".",".",".",".",".",".",".","."
"","129
003","27","3.262","18.5","22.2","22.2","11.1","3.7",".",".","22.2",".",".",".",".",".",".",".","."
"","129
004","18","3.846","55.6","11.1","5.6",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","94","3.429","30.9","23.4","18.1","6.4","2.1","1.1",".","18.1",".",".",".",".",".",".",".","."
"","130
001","24","3.711","45.8","20.8","12.5",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"","130
002","21","3.676","66.7","4.8","4.8",".",".",".","4.8","19.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","45","3.694","55.6","13.3","8.9",".",".",".","2.2","20.0",".",".",".",".",".",".",".","."
"","131
002","20","3.306","25.0","25.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","131
003","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","131
004","24","3.528","41.7","8.3","16.7","4.2","4.2",".",".","20.8",".",".",".",".",".","4.2",".","."
"Cross Traing-Basic Fitness","Course Total","55","3.512","40.0","12.7","18.2","1.8","5.5",".",".","20.0",".",".",".",".",".","1.8",".","."
"","001
132","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","132
002","22","3.882","63.6","9.1","4.5",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","132
003","17","3.750","64.7","5.9","5.9",".","5.9",".",".","17.6",".",".",".",".",".",".",".","."
"","132
004","18","3.308","5.6","33.3","33.3",".",".",".",".","22.2",".",".",".",".",".",".","5.6","."
"","132
005","21","3.781","47.6","23.8","4.8",".",".",".",".","19.0",".",".",".",".",".","4.8",".","."
"","132
006","19","3.656","42.1","26.3","15.8",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","132
007","17","3.813","35.3","5.9","5.9",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","008
132","16","3.333","25.0","6.3","6.3","18.8",".",".",".","43.8",".",".",".",".",".",".",".","."
"","132
009","18","3.538","33.3","16.7","16.7","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","132
010","21","3.423","19.0","28.6","4.8","4.8","4.8",".",".","33.3","4.8",".",".",".",".",".",".","."
"Weight Training","Course Total","185","3.649","40.5","17.8","10.3","2.7","1.1",".",".","25.9","0.5",".",".",".",".","0.5","0.5","."
"","133
002","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","133
003","18","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","133
004","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","133
005","19","3.694","63.2","15.8","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","71","3.794","59.2","25.4","2.8",".","1.4",".",".","11.3",".",".",".",".",".",".",".","."
"","134
001","25","3.913","80.0","8.0","4.0",".",".",".",".","4.0",".",".",".",".","4.0",".",".","."
"","134
002","21","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","003
134","16","3.885","68.8","6.3","6.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
