"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102","002","","20","3.763","75.0","5.0","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102","003","","29","3.724","69.0","17.2","3.4","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","","Course Total","","66","3.746","69.7","15.2","7.6","4.5","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"Biblical Hebrew-Second Sem","104","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202","001","","20","3.725","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-Second Sem","304","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","324","001","","9","3.286",".","44.4","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","11.1"
"Prophets of the Bible","332","001","","19","3.289","47.4","15.8","15.8","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","371","001","","11","3.750","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","371","002","","7","3.800","57.1",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","14.3"
"","371","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","371","004","","7","3.333","28.6","28.6","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","","Course Total","","26","3.659","46.2","26.9","7.7",".","3.8",".",".","7.7",".",".",".",".",".",".",".","7.7"
"Jewish Cultural History","377","001","","8","3.500","37.5","25.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402","001","","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-telling in the Bible","417","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534","001","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ugaritic Texts","603","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Isaiah","652","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Study-Relig of Ancient Israel","955","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","7","",".",".",".",".",".",".",".","28.6","14.3",".",".","57.1",".",".",".","."
