"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Medieval Monasticism","366","001","45","2.928","26.7","22.2","11.1","13.3","6.7","2.2","8.9","6.7",".",".",".",".",".",".",".","2.2"
"Mod Pol Hist of Jews:1870-1970","374","002","20","3.053","20.0","10.0","35.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","67","2.801","28.4","13.4","16.4","7.5","10.4","14.9","3.0","3.0",".",".",".",".",".","3.0",".","."
"Islam in Iran","379","001","58","3.259","24.1","31.0","19.0","10.3","6.9","1.7",".","6.9",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","66","3.557","56.1","13.6","9.1","4.5","10.6",".",".","3.0",".",".",".",".",".",".","3.0","."
"Immigratn&Assimlatn-Am Hist","403","001","71","3.272","28.2","31.0","21.1","1.4","4.2","2.8","2.8","8.5",".",".",".",".",".",".",".","."
"History-American Education","412","001","73","3.151","16.4","31.5","32.9","12.3","4.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"History-Scand Since 1815","432","001","28","2.963","28.6","14.3","21.4","14.3","7.1","7.1","3.6","3.6",".",".",".",".",".",".",".","."
"Amer Foreign Rel, 1763-1901","433","001","41","3.215","19.5","29.3","39.0","4.9","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","46","3.278","28.3","32.6","26.1","4.3","2.2",".","4.3","2.2",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","121","3.107","23.1","21.5","28.1","5.8","12.4","0.8","2.5","5.8",".",".",".",".",".",".",".","."
"World Forest History","452","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Japan, US-Crisis in Asia","456","001","24","3.673","50.0","29.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","4.2","."
"Hist SE Asia Since 1800","458","001","54","3.518","33.3","35.2","16.7","3.7","1.9",".",".","7.4",".",".",".",".","1.9",".",".","."
"American West Since 1850","462","001","118","3.448","33.1","28.8","25.4","2.5","2.5","0.8",".","5.9",".",".",".",".",".","0.8",".","."
"Econ&Soc Hist-Eur 1500-1750","467","001","44","3.509","29.5","40.9","29.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relig Thought in Modern Europe","470","001","41","3.154","19.5","26.8","26.8","12.2","7.3","2.4",".","4.9",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","002","15","2.893","20.0","6.7","26.7","13.3","26.7",".",".",".",".",".",".",".","6.7",".",".","."
"Irish and Scottish Migrations","503","001","27","3.440","44.4","29.6","7.4",".","7.4",".","3.7","3.7",".",".",".",".","3.7",".",".","."
"Society&Health Care-Am Hist","504","001","7","3.333","28.6","28.6","14.3",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"World & The West from 1492","525","002","25","3.060","24.0","16.0","28.0","20.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Balkans & Mid E: 1700-1918","540","001","45","3.026","22.2","22.2","15.6","15.6","11.1","6.7",".","6.7",".",".",".",".",".",".",".","."
"Writing Tribal Histories","546","004","6","3.375",".","50.0","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","35","2.544","8.6","2.9","37.1","17.1","22.9","2.9","5.7",".","2.9",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","19","3.342","36.8","21.1","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","16","2.969","31.3","18.8","18.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","600","002","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","600","003","16","3.375","43.8","25.0","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","600","004","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","16","3.344","62.5","18.8","6.3",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","600","006","16","2.906","31.3","25.0","18.8","6.3",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"","600","007","17","3.063","5.9","35.3","47.1",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"","600","009","16","3.188","43.8","25.0","12.5",".",".","18.8",".",".",".",".",".",".",".",".",".","."
"","600","010","16","3.500","31.3","37.5","12.5",".","6.3",".",".",".",".",".",".",".","6.3",".","6.3","."
"","600","011","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","600","012","16","3.000","18.8","25.0","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","600","013","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","193","3.375","44.0","25.9","16.1","2.6","2.1","3.1","3.6","0.5",".",".",".",".","1.0","0.5","0.5","."
"Hist-Rad&Expermntl Ed in US&UK","622","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 231 of 408",""
