"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Stdt Teaching-Music:Elem","Course Total","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Health Info for Teachers","501
001","","47","3.628","48.9","34.0","12.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Literacy Across the Curriculum","503
001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Literacy Assessmnt&Interventn","504
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","","27","3.722","59.3","33.3","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","506
002","","27","3.741","55.6","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","54","3.731","57.4","35.2","5.6",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","537
001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","","53","3.972","96.2","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Spec Ed in the Arts","566
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn&Prod Elec Instr Matrls","603
001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Action Research in Schools","626
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","673
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","19","3.847","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","12","3.824","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
