"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Directed Study","298","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","110","3.407","30.9","33.6","21.8","8.2","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","90","3.394","31.1","30.0","28.9","8.9",".","1.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","129","3.048","12.4","29.5","31.0","15.5","5.4","2.3","1.6","2.3",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","154","3.326","36.4","28.6","15.6","7.1","9.1",".","1.9","0.6",".",".",".",".","0.6",".",".","."
"Film Styles and Genres","354","001","86","3.256","15.1","46.5","25.6","9.3","1.2",".","2.3",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","105","3.357","14.3","52.4","24.8","7.6","1.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360","001","121","3.091","18.2","23.1","32.2","19.8","4.1","0.8","1.7",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","112","3.469","42.9","26.8","17.9","9.8","0.9","1.8",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","81","2.781","6.2","19.8","33.3","16.0","18.5","3.7","1.2","1.2",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","19","2.868","5.3","21.1","36.8","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","39","2.859","12.8","10.3","41.0","12.8","20.5","2.6",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","14","3.385","21.4","28.6","42.9",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Com Arts:Study Abroad","513","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","40","3.388","37.5","32.5","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Contemporary Rhetorical Theory","571","001","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","609","001","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","609","002","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","23","3.370","17.4","43.5","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","610","001","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","20","3.400","35.0","25.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","610","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","004","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","71","3.683","59.2","22.5","14.1","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","612","001","17","3.353","35.3","35.3","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","613","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","001","22","3.452","50.0","9.1","27.3","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","613","002","74","3.054","13.5","32.4","25.7","18.9","6.8",".","2.7",".",".",".",".",".",".",".",".","."
"","613","003","27","3.667","66.7","22.2","7.4",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","613","004","19","3.605","36.8","57.9",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","613","005","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","165","3.361","34.5","32.1","17.6","9.1","3.6","0.6","1.8","0.6",".",".",".",".",".",".",".","."
"","614","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 187 of 408",""
