"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","287","3.188","32.8","25.8","16.7","9.4","7.3","7.0","0.3","0.3",".",".",".",".",".",".",".","0.3"
"Weather and Climate","101","001","93","3.280","41.9","22.6","15.1","6.5","3.2","6.5","2.2","1.1",".",".",".",".","1.1",".",".","."
"Survey of Oceanography","105","001","33","2.906","24.2","15.2","18.2","3.0","33.3","3.0",".","3.0",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","74","3.284","32.4","20.3","29.7","9.5","6.8","1.4",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","76","3.112","34.2","22.4","17.1","10.5","9.2",".","6.6",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","40","3.224","27.5","22.5","27.5",".","17.5",".",".","5.0",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","20","2.675","15.0","5.0","25.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","22","3.273","18.2","27.3","50.0",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","24","3.646","50.0","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","12","3.045","16.7","33.3","16.7","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","26","3.340","26.9","11.5","57.7",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"Sci Bckgrnd-Globl Envr Prob","472","001","13","3.231","30.8","7.7","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cloud Physics","637","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","907","001","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","925","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Oceanography","965","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth System Sci Seminar","980","001","9","",".",".",".",".",".",".",".","11.1",".","88.9",".",".",".",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 265 of 408",""
