"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1304","3.526","59.4","16.0","11.7","4.8","4.6","1.5","0.6","1.1","",".",".","",".","",".","0.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","115","2.855","20.9","14.8","25.2","13.9","15.7","6.1","2.6","0.9","",".",".","",".","",".",".",".",".","."
"Sophomore","","186","3.294","48.4","13.4","14.5","9.1","9.7","3.2","1.6",".","",".",".","",".","",".",".",".",".","."
"Junior","","245","3.529","52.7","20.4","13.5","6.1","4.1","0.8","0.4","0.4","",".",".","",".","",".","0.4",".",".","1.2"
"Senior","","304","3.481","48.7","22.7","18.4","3.6","4.3","1.3","0.3","0.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","850","3.369","46.0","18.9","17.1","6.9","6.9","2.2","0.9","0.5","",".",".","",".","",".","0.1",".",".","0.4"
"Special","","35","3.639","54.3","22.9","11.4","2.9","2.9",".",".","5.7","",".",".","",".","",".",".",".",".","."
"Graduate","","259","3.955","87.3","8.9","0.4",".",".",".",".","3.1","",".",".","",".","",".","0.4",".",".","."
"Prof Yr 1","","48","3.942","89.6","10.4",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","60","3.867","78.3","16.7","1.7","3.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","52","3.970","94.2","3.8","1.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","160","3.924","86.9","10.6","1.3","1.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1304","3.526","59.4","16.0","11.7","4.8","4.6","1.5","0.6","1.1","",".",".","",".","",".","0.2",".",".","0.2"
