"Public Management","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benefit-Cost Analysis","881
001","33","3.788","57.6","42.4",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Nonprofit Leadership","887
001","11","3.773","54.5","45.5",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Public Budgeting","892
001","18","3.806","61.1","38.9",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"PUB AFFR
826","Dept. Total","312","3.714","51.3","38.8","6.7","1.3","",".","",".","",".","1.3","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","18","3.528","38.9","38.9","11.1","11.1","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","18","3.528","38.9","38.9","11.1","11.1","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","5","3.900","80.0","20.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","279","3.725","52.0","38.7","6.5","0.7","",".","",".","",".","1.4","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 2","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","6","3.500","16.7","66.7","16.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","10","3.650","40.0","50.0","10.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","312","3.714","51.3","38.8","6.7","1.3","",".","",".","",".","1.3","",".",".","",".","",".","0.6",".",".","."
