"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","26","",".",".",".",".",".",".",".",".",".","96.2","3.8",".",".",".",".","."
"698
Directed Study","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","10","3.948","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","28","3.946","89.3","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Adv Mass Media Practice","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
History of Mass Communication","001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"830
Internatnl/Develpmnt Commun","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839
Crit & Cultr Stud-Mass Comm","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Topics in Mass Communication","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Smr-Sci & Envir Communication","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"Thesis","Course Total","","38","",".",".",".",".",".",".",".","86.8",".",".",".","10.5","2.6",".",".","."
"999","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
