"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"","990
097","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"PHYSIOL
762","Dept. Total","779","3.316","39.0","12.5","27.5","2.8","10.0","1.0","0.4","6.3","",".",".",".","",".","0.1",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","41","3.035","31.7",".","39.0","4.9","24.4",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","182","3.060","31.3","6.0","35.7","3.8","19.8","2.2","0.5",".","",".",".",".","",".",".",".",".","0.5"
"Senior","","200","3.253","47.0","5.5","27.0","4.0","13.0","2.0","1.0","0.5","",".",".",".","",".",".",".",".","."
"Undergraduates","","423","3.148","38.8","5.2","31.9","4.0","17.0","1.9","0.7","0.2","",".",".",".","",".",".",".",".","0.2"
"Special","","21","3.248","42.9",".","38.1","4.8","14.3",".",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","181","3.586","30.9","31.5","9.4","0.6","1.7",".",".","25.4","",".",".",".","",".","0.6",".",".","."
"Prof Yr 1","","152","3.550","49.3","11.8","35.5","2.0",".",".",".",".","",".",".",".","",".",".",".",".","1.3"
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Professionals","","154","3.550","48.7","11.7","35.1","1.9",".",".",".","1.3","",".",".",".","",".",".",".",".","1.3"
"","Dept. Total","779","3.316","39.0","12.5","27.5","2.8","10.0","1.0","0.4","6.3","",".",".",".","",".","0.1",".",".","0.4"
