"","990
022","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
065","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
079","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"S&A PHM
732","Dept. Total","462","3.362","35.1","26.0","23.2","10.4","1.7","0.4","0.4","2.2","",".",".",".","",".","0.4",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","7","3.615","57.1","14.3","28.6",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","9","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","6","3.615","66.7",".","33.3",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","24","3.796","79.2","4.2","16.7",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","21","4.000","47.6",".",".",".",".",".",".","47.6","",".",".",".","",".","4.8",".",".","."
"Prof Yr 1","","130","3.138","10.0","36.2","36.2","13.1","2.3","1.5","0.8",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","128","3.064","10.2","25.8","36.7","22.7","3.1",".","0.8",".","",".",".",".","",".","0.8",".",".","."
"Prof Yr 3","","159","3.787","67.3","24.5","5.7","1.3","0.6",".",".",".","",".",".",".","",".",".",".",".","0.6"
"Professionals","","417","3.329","31.9","28.5","24.7","11.5","1.9","0.5","0.5",".","",".",".",".","",".","0.2",".",".","0.2"
"","Dept. Total","462","3.362","35.1","26.0","23.2","10.4","1.7","0.4","0.4","2.2","",".",".",".","",".","0.4",".",".","0.2"
