"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Directed Study","198
201","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","262","3.878","75.6","24.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","226","2.962","16.8","8.4","47.3","7.1","19.5","0.9",".",".",".",".",".",".",".",".",".","."
"","002
301","137","3.157","24.8","13.9","41.6","8.8","10.2","0.7",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","363","3.036","19.8","10.5","45.2","7.7","16.0","0.8",".",".",".",".",".",".",".",".",".","."
"","302
001","43","3.419","37.2","27.9","18.6","14.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","302
002","26","3.173","23.1","26.9","19.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","69","3.326","31.9","27.5","18.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","303
001","82","3.165","25.6","9.8","50.0","3.7","9.8","1.2",".",".",".",".",".",".",".",".",".","."
"","303
002","61","3.311","34.4","11.5","45.9","1.6","4.9","1.6",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","143","3.227","29.4","10.5","48.3","2.8","7.7","1.4",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","304
001","108","3.347","30.6","18.5","41.7","8.3","0.9",".",".",".",".",".",".",".",".",".",".","."
"","365
000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","365
003","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","44","3.636","65.9","9.1","18.2",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","365
005","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","99","3.760","63.6","22.2","10.1",".","3.0",".",".","1.0",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
201","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sys Thinking & Sustainable Bus","601
001","33","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","701
001","24","3.771","70.8","12.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","52","3.471","19.2","55.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","54","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","106","3.500","26.4","47.2","26.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Communicatn-Dissertsators","975
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
