"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","24","3.413","16.7","54.2","16.7","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"","004
101","19","3.444","42.1","26.3","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","5.3"
"","101
006","20","3.800","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","22","3.775","50.0","40.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","101
009","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","19","3.125","15.8","31.6","15.8","10.5","5.3","5.3",".","15.8",".",".",".",".",".",".",".","."
"","101
011","18","3.639","66.7","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","101
012","18","3.500","61.1","11.1","11.1","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"First Semester French","Course Total","159","3.560","47.2","28.9","11.3","4.4","0.6","1.9","0.6","4.4",".",".",".",".",".",".",".","0.6"
"","102
001","23","3.522","34.8","43.5","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","22","2.786","18.2","18.2","18.2","22.7","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".","."
"","102
004","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.591","40.9","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","15","3.071","20.0","20.0","26.7","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","102
008","22","3.273","18.2","40.9","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","12","3.333","25.0","33.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","132","3.312","26.5","37.1","18.9","10.6","2.3","2.3","0.8","1.5",".",".",".",".",".",".",".","."
"","203
001","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
002","19","3.500","31.6","42.1","10.5","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
003","22","3.333","13.6","54.5","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","4.5"
"","203
004","15","3.233","33.3","40.0","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","203
005","21","3.400","19.0","42.9","28.6","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","203
007","19","2.921","15.8","26.3","21.1","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","203
008","8","3.000","12.5","25.0","25.0",".",".","12.5",".","25.0",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","114","3.261","21.9","38.6","18.4","9.6","3.5","2.6","0.9","3.5",".",".",".",".",".",".",".","0.9"
"","204
001","22","3.159",".","68.2","13.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","002
204","12","3.375","33.3","33.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","19","3.316","36.8","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","204
004","20","3.675","70.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","006
204","19","3.583","31.6","52.6","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","204
008","20","3.421","15.0","55.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","112","3.418","30.4","41.1","13.4","8.9","3.6","0.9",".","1.8",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","227
002","20","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
001","18","3.637","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","18","3.589","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","20","3.789","55.0","40.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","228
004","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","20","3.657","45.0","40.0","5.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","228
007","17","3.688","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
008","20","3.801","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
009","13","3.636","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","146","3.691","50.0","37.0","10.3",".","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Immigration and Expression","240
001","22","3.500","40.9","36.4","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","271
001","15","3.460","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","15","3.670","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 215 of 408",""
