"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","149","2.695","15.4","18.8","17.4","19.5","15.4","10.1","3.4",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","24","3.273","20.8","33.3","20.8","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.950","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","35","2.800","20.0","17.1","22.9",".","31.4","8.6",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","39","3.269","46.2","15.4","12.8","12.8","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"313","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"313","002","","7","3.500","57.1","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","12","3.625","66.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","38","2.868","21.1","13.2","21.1","7.9","36.8",".",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","27","3.111","25.9","14.8","33.3","14.8","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","14","3.143","35.7","14.3","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"375","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","009","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","77","3.916","83.1","13.0","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404
Vertebrate Physiology","001","","21","3.095","23.8","23.8","28.6","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"430
Sheep Production","001","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"432
Swine Production","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"468
Envir Impact-Livestock Operatn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Ornithology","001","","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","8","2.214",".","12.5","25.0",".","37.5",".","12.5","12.5",".",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
