"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","22","3.198","45.5","4.5","22.7","9.1","13.6",".",".",".",".",".","",".",".",".",".","4.5","."
"Junior","225","3.178","43.6","8.9","22.7","7.6","13.8","3.6",".",".",".",".","",".",".",".",".",".","."
"Senior","550","3.275","47.3","10.5","22.9","6.4","10.0","1.3","0.5","0.4",".",".","",".",".","0.2","0.4","0.2","."
"Undergraduates","800","3.247","46.4","9.9","22.8","6.8","11.1","1.9","0.4","0.3",".",".","",".",".","0.1","0.3","0.3","."
"Special","19","3.273","26.3",".","47.4",".","5.3",".",".","15.8",".",".","",".","5.3",".",".",".","."
"Graduate","383","3.550","36.3","8.6","9.7","1.8","1.0",".","0.3","38.4","0.3",".","",".","2.6","0.8","0.3",".","."
"Prof Yr 3","15","3.800","53.3","6.7","6.7",".",".",".",".","26.7",".",".","",".","6.7",".",".",".","."
"Prof Yr 4","3","4.000","33.3",".",".",".",".",".",".","66.7",".",".","",".",".",".",".",".","."
"Professionals","18","3.813","50.0","5.6","5.6",".",".",".",".","33.3",".",".","",".","5.6",".",".",".","."
