"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","3.833","66.7","33.3",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","6","3.833","50.0","50.0",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","13","3.789","69.2","7.7","15.4","",".","",".","",".","",".","7.7","",".",".","",".",".","",".",".",".","."
"Undergraduates","22","3.811","63.6","22.7","9.1","",".","",".","",".","",".","4.5","",".",".","",".",".","",".",".",".","."
"Special","1","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","120","3.610","6.7","8.3","2.5","",".","",".","",".","",".","79.2","",".",".","",".","3.3","",".",".",".","."
"Prof Yr 4","1","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","1","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
