"","990
076","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
077","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
078","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","39","",".",".",".",".",".",".","",".","97.4","2.6",".",".","",".",".",".",".","."
"PATH
704","Dept. Total","607","3.405","36.4","22.4","18.6","8.4","1.6","0.7","",".","6.3","0.2","4.6","0.2","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","2.500",".",".",".","100.0",".",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","73","3.205","13.7","42.5","20.5","20.5","1.4","1.4","",".",".",".",".",".","",".",".",".",".","."
"Senior","","117","3.209","26.5","23.1","29.1","14.5","4.3","2.6","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","192","3.200","21.4","30.2","25.5","17.7","3.1","2.1","",".",".",".",".",".","",".",".",".",".","."
"Special","","14","3.844","57.1","14.3","7.1",".",".",".","",".",".",".",".",".","",".","21.4",".",".","."
"Graduate","","130","3.512","25.4","15.4","6.2","1.5",".",".","",".","28.5","0.8","21.5","0.8","",".",".",".",".","."
"Prof Yr 1","","122","3.246","19.7","25.4","41.8","10.7","2.5",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","154","3.864","81.2","14.9","1.3","1.3","0.6",".","",".",".",".",".",".","",".","0.6",".",".","."
"Prof Yr 3","","8","3.643","50.0","12.5","25.0",".",".",".","",".","12.5",".",".",".","",".",".",".",".","."
"Prof Yr 4","","7","3.921","85.7","14.3",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Professionals","","291","3.542","54.6","19.2","18.9","5.2","1.4",".","",".","0.3",".",".",".","",".","0.3",".",".","."
"","Dept. Total","627","3.405","38.4","21.7","18.0","8.1","1.6","0.6","",".","6.1","0.2","4.5","0.2","",".","0.6",".",".","."
