"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Probs-Criminal Justice Adm","915
001","11","1.000","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","918
001","11","1.864","18.2","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","918
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","918
003","12","2.042","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","918
004","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","39","2.089","20.5","5.1","17.9",".",".",".",".","28.2",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","19","1.347","5.3",".","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","14","1.357","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","11","1.455","9.1",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
004","11","1.455","9.1",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","24","2.632","58.3",".","4.2",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","940
006","22","1.250","18.2","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","940
007","22","2.381","22.7",".","45.5",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","940
008","28","1.107","14.3",".","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","16","1.125","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","8","3.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
011","12","0.828","16.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".","8.3","."
"","940
012","17","1.938","17.6","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","940
013","8","1.500","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
015","7","1.167","14.3",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","940
016","15","1.600","20.0",".","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","940
017","25","1.520","12.0","8.0","20.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","940
018","10","0.600","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","940
019","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
021","7","1.714","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
023","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","285","1.638","24.9","1.8","15.4",".","2.1","0.4","0.4","4.2",".",".",".",".",".",".","1.1","."
"","950
001","63","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
002","11","1.182","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","950
003","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","84","1.182","1.2",".","3.6",".",".",".",".","86.9",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","953
001","20","1.150","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publ Sect Labor Rel Law Sem","955
001","17","1.000",".",".","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Estate Planning","957
001","21","1.048","4.8",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs:Trade Regulation-Smr","961
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Probs-Policing Smr","977
001","11","1.727","9.1",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Probs-Envrnmtl Law","988
001","14","1.357","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
