"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"","300
001","","23","3.568","60.9","17.4","4.3","4.3","4.3","4.3",".","4.3",".",".",".",".",".",".",".","."
"","300
002","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","Course Total","","31","3.567","58.1","16.1","12.9","3.2","3.2","3.2",".","3.2",".",".",".",".",".",".",".","."
"","301
001","","25","3.820","92.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","301
002","","35","3.682","62.9","14.3","11.4",".","5.7",".",".","5.7",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","Course Total","","60","3.741","75.0","10.0","6.7",".","3.3",".","1.7","3.3",".",".",".",".",".",".",".","."
"Senior Thesis","691
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
