"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","119","3.097","18.5","21.8","33.6","14.3","10.9","0.8",".",".",".",".",".",".",".",".",".","."
"","300
002","125","3.100","14.4","22.4","40.8","13.6","8.8",".",".",".",".",".",".",".",".",".",".","."
"","003
300","90","3.011","13.3","21.1","35.6","16.7","12.2","1.1",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","334","3.075","15.6","21.9","36.8","14.7","10.5","0.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research II","411
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","654
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","53","3.462","32.1","32.1","32.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","53","3.519","35.8","34.0","28.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","42","3.488","28.6","40.5","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","148","3.490","32.4","35.1","30.4","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","732
001","76","3.599","43.4","34.2","21.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","732
030","57","3.596","56.1","17.5","24.6",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","133","3.598","48.9","27.1","22.6","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","17","3.833","70.6","5.9","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","799
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
058","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Managemt&Qual Plan","861
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Smr-Operations & Tech Mgmt","875
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","5","***","","","","","","","","","","","","","","","",""
