"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","15","3.767","86.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.575","55.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.556","27.8","55.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","107","3.682","60.7","21.5","15.0","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"","104
001","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","10","3.500","40.0","30.0",".","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","104
004","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","63","3.637","41.3","47.6","4.8","4.8",".",".",".","1.6",".",".",".",".",".",".",".","."
"","112
001","18","3.194","11.1","66.7","5.6","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","112
002","19","3.474","5.3","89.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","15","3.393","20.0","46.7","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"","112
004","15","3.321","20.0","26.7","40.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","112
005","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","13","3.308","23.1","30.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","112
007","20","3.750","75.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","008
112","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","137","3.515","36.5","41.6","13.1","4.4","2.2",".","0.7","1.5",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","145","3.236","25.5","29.7","24.8","13.1","4.1",".","2.1","0.7",".",".",".",".",".",".",".","."
"","212
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","212
004","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","61","3.795","77.0","18.0","1.6",".","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","214
001","12","3.333","41.7","16.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","214
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture I","Course Total","17","3.529","58.8","11.8","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","222
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","222
002","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","32","3.581","37.5","43.8","9.4","6.3",".",".",".","3.1",".",".",".",".",".",".",".","."
"","224
001","16","3.409","50.0",".","6.3","6.3",".",".","6.3","31.3",".",".",".",".",".",".",".","."
"","224
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","43","3.737","69.8","7.0","7.0","2.3",".",".","2.3","11.6",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
004","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
