"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","2.289","10.5",".","31.6","15.8","21.1","10.5","10.5",".",".",".",".",".",".",".",".","."
"","002
101","24","1.543",".","4.2","12.5","8.3","25.0","25.0","20.8",".",".",".",".",".",".",".",".","4.2"
"","101
003","24","2.375","12.5","16.7","16.7","8.3","16.7","25.0","4.2",".",".",".",".",".",".",".",".","."
"","004
101","12","1.208","8.3",".",".","8.3","33.3",".","50.0",".",".",".",".",".",".",".",".","."
"","101
005","20","2.150","10.0","5.0","25.0","15.0","20.0","5.0","20.0",".",".",".",".",".",".",".",".","."
"","006
101","22","2.636","27.3","13.6","18.2","4.5","18.2","4.5","13.6",".",".",".",".",".",".",".",".","."
"Intermediate Algebra","Course Total","121","2.096","11.6","7.4","18.2","9.9","21.5","13.2","17.4",".",".",".",".",".",".",".",".","0.8"
"","112
002","18","2.278","5.6","11.1","27.8",".","38.9","5.6","11.1",".",".",".",".",".",".",".",".","."
"","112
003","21","2.381","9.5","4.8","33.3","14.3","19.0","9.5","9.5",".",".",".",".",".",".",".",".","."
"","112
004","24","2.208","4.2",".","41.7",".","37.5","4.2","12.5",".",".",".",".",".",".",".",".","."
"","112
005","25","2.240","16.0","4.0","24.0","4.0","28.0","8.0","16.0",".",".",".",".",".",".",".",".","."
"","006
112","17","2.176","5.9",".","29.4","11.8","35.3","5.9","11.8",".",".",".",".",".",".",".",".","."
"","112
007","19","2.368",".","26.3","21.1","5.3","31.6","5.3","10.5",".",".",".",".",".",".",".",".","."
"","112
008","22","2.727","4.5","18.2","40.9","9.1","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"","009
112","19","2.806","26.3","5.3","15.8","10.5","31.6","5.3",".",".",".",".",".",".","5.3",".",".","."
"","011
112","14","2.536","7.1","7.1","35.7",".","42.9","7.1",".",".",".",".",".",".",".",".",".","."
"","112
012","10","2.200","10.0","10.0","10.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","189","2.394","9.0","8.5","29.1","6.3","31.7","5.8","9.0",".",".",".",".",".","0.5",".",".","."
"","113
004","11","2.864","27.3",".","45.5","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","008
113","15","2.733","13.3","13.3","46.7",".","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","009
113","6","2.667","50.0",".",".",".","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"","113
012","17","2.882","29.4","11.8","11.8","11.8","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"","113
014","15","2.067","6.7","6.7","26.7","6.7","26.7","6.7","20.0",".",".",".",".",".",".",".",".","."
"","113
017","16","2.469","12.5",".","18.8","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".","."
"","113
019","18","2.472","11.1","5.6","16.7","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","98","2.577","18.4","6.1","24.5","11.2","27.6","6.1","6.1",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","114
001","80","2.494","13.8","7.5","28.8","7.5","27.5","5.0","8.8","1.3",".",".",".",".",".",".",".","."
"","130
002","23","2.935","17.4","13.0","39.1","8.7","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","130
003","31","3.387","38.7","22.6","19.4","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"","004
130","15","3.100","13.3","33.3","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","69","3.174","26.1","21.7","27.5","13.0","10.1","1.4",".",".",".",".",".",".",".",".",".","."
"","131
002","29","3.259","44.8","20.7","10.3","3.4","17.2",".","3.4",".",".",".",".",".",".",".",".","."
"","131
003","26","2.940","15.4","30.8","23.1","3.8","11.5","11.5",".",".",".",".",".",".",".",".","3.8","."
"","131
004","23","3.065","13.0","43.5","13.0","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","78","3.097","25.6","30.8","15.4","6.4","14.1","5.1","1.3",".",".",".",".",".",".",".","1.3","."
"","132
001","10","3.400","40.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","132
003","23","3.674","65.2","8.7","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","22","3.341","36.4","22.7","13.6","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","55","3.491","49.1","16.4","20.0","12.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Reasong-Teachng Math","135
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","141
001","27","2.981","22.2","18.5","29.6","7.4","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"","141
002","89","2.994","16.9","28.1","18.0","18.0","15.7","3.4",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","116","2.991","18.1","25.9","20.7","15.5","15.5","4.3",".",".",".",".",".",".",".",".",".","."
"","210
001","189","3.215","38.6","9.0","32.3","5.3","10.6","2.6","1.1",".",".",".",".",".",".",".",".","0.5"
"","002
210","202","3.012","33.2","11.4","25.7","5.9","15.3","5.9","2.5",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 259 of 408",""
