"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","29","3.914","89.7","6.9",".","3.4",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods II","301
001","63","3.929","95.2","1.6",".",".","3.2",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Theory-Interst & Life Insur","303
001","57","3.544","47.4","28.1","17.5","3.5","1.8","1.8",".",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics II","651
001","40","3.113","35.0","17.5","12.5","15.0","17.5",".","2.5",".","",".","",".",".","",".","",".","",".",".","."
"Loss Models II","653
001","35","3.286","25.7","31.4","28.6","8.6","2.9","2.9",".",".","",".","",".",".","",".","",".","",".",".","."
"Regressn&Time Series-Actuaries","654
001","43","3.140","25.6","4.7","51.2","9.3","9.3",".",".",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","267","3.388","55.1","14.6","17.6","6.0","5.6","0.7","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","37","3.590","67.6","16.2","8.1","8.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","94","3.700","78.7","11.7","5.3","1.1","2.1","1.1",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","118","3.154","32.2","16.9","29.7","9.3","10.2","0.8","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","249","3.370","55.0","14.9","17.3","6.0","5.6","0.8","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","17","3.618","58.8","11.8","23.5","5.9",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","267","3.388","55.1","14.6","17.6","6.0","5.6","0.7","0.4","",".","",".",".","",".","",".","",".",".",".","."
