"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","110","2.729","20.9","12.7","23.6","14.5","11.8","6.4","7.3",".",".",".",".",".",".",".","2.7","."
"Renaissance to Modern Art","202","001","233","3.438","40.8","25.8","18.0","7.3","2.6","1.3","0.9","3.0",".",".",".",".",".",".",".","0.4"
"Survey of Asian Art","203","001","31","3.591","29.0","29.0","9.7","3.2",".",".",".","29.0",".",".",".",".",".",".",".","."
"Survey-Photogrphy:1839-1989","206","001","95","3.242","35.8","22.1","13.7","18.9","2.1","4.2","1.1","2.1",".",".",".",".",".",".",".","."
"Greek Sculpture","302","001","26","3.313","50.0","11.5","15.4","7.7",".",".","7.7",".",".",".",".",".",".","3.8",".","3.8"
"Art & Archaeology-Ancient Rome","304","001","39","3.568","46.2","20.5","23.1","5.1",".",".",".","5.1",".",".",".",".",".",".",".","."
"Donatello-da Vinci:14-1500","322","001","54","2.957","7.4","16.7","35.2","16.7","7.4","1.9",".","11.1",".",".",".",".","1.9","1.9",".","."
"Netherlandish Painting-15c","331","001","26","3.481","42.3","26.9","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Netherlandish Painting-17c","333","001","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Brit Art & Soc,18 c-Present","346","001","61","3.634","37.7","42.6","9.8","1.6",".",".",".","8.2",".",".",".",".",".",".",".","."
"Europn Arch:Modern Movemnts","358","001","51","3.058","27.5","15.7","17.6","9.8","7.8",".","5.9","13.7",".",".",".",".","2.0",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","26","3.250","38.5","19.2","11.5","7.7",".",".","7.7","11.5",".",".",".",".",".","3.8",".","."
"Topics in 19th Century Art","407","001","30","3.540","26.7","40.0","13.3","3.3",".",".",".","10.0",".",".",".",".","6.7",".",".","."
"Topics in Twentieth-Cent Art","408","001","31","3.260","29.0","19.4","16.1","3.2","9.7","3.2",".","16.1",".",".",".",".",".",".","3.2","."
"Visual Cultures of South Asia","428","001","38","3.068",".","26.3","63.2","2.6","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Topics in Visual Culture","430","001","20","3.813","60.0","10.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","33","3.750","51.5","33.3","6.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","15","3.300","33.3","33.3","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","10","3.444","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Proseminar in Material Culture","563","001","16","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in African Art","579","001","7","3.429","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Art History","600","001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","799","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 166 of 408",""
