"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","210
003","216","3.339","47.2","19.4","13.4","6.0","7.4","3.7","1.9",".",".",".",".",".",".","0.9",".","."
"Topics-Finite Mathematics","Course Total","607","3.191","39.9","13.5","23.4","5.8","11.0","4.1","1.8",".",".",".",".",".",".","0.3",".","0.2"
"","211
001","181","3.061","9.9","27.6","38.1","16.6","6.1","1.7",".",".",".",".",".",".",".",".",".","."
"","211
002","150","2.567","16.7","8.0","24.7","12.7","22.7","9.3","5.3",".",".",".",".",".",".",".",".","0.7"
"Calculus","Course Total","331","2.838","13.0","18.7","32.0","14.8","13.6","5.1","2.4",".",".",".",".",".",".",".",".","0.3"
"Calc/Intro-Differntl Equats","213
001","114","3.399","47.4","18.4","13.2","14.0","4.4","2.6",".",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","217
001","216","2.289","16.2","3.2","23.1","3.7","30.1","13.9","9.7",".",".",".",".",".",".",".",".","."
"","221
001","134","2.351","14.9","15.7","15.7","8.2","18.7","10.4","14.2","0.7",".",".",".",".",".","0.7",".","0.7"
"","221
002","193","2.399","14.5","5.2","25.4","14.5","16.6","18.1","5.7",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","327","2.380","14.7","9.5","21.4","11.9","17.4","15.0","9.2","0.3",".",".",".",".",".","0.3",".","0.3"
"","222
001","268","2.666","24.6","6.3","24.6","7.5","21.6","10.1","5.2",".",".",".",".",".",".",".",".","."
"","222
002","93","3.000","22.6","12.9","38.7","6.5","15.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","222
003","182","2.644","24.7","5.5","31.9","2.2","17.6","7.1","9.9","0.5",".",".",".",".",".",".","0.5","."
"","004
222","113","2.606","8.0","15.0","20.4","31.9","14.2","7.1","3.5",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","656","2.697","21.5","8.5","27.9","10.1","18.3","7.6","5.8","0.2",".",".",".",".",".",".","0.2","."
"","234
001","73","2.660","21.9","6.8","26.0","13.7","11.0","16.4","2.7","1.4",".",".",".",".",".",".",".","."
"","234
002","151","2.660","23.8","11.3","15.2","11.3","23.8","7.9","6.0","0.7",".",".",".",".",".",".",".","."
"","234
003","252","2.412","10.7","7.1","24.2","13.1","31.0","5.2","8.3",".","0.4",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","476","2.529","16.6","8.4","21.6","12.6","25.6","7.8","6.7","0.4","0.2",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","240
001","30","2.983","36.7","10.0","23.3",".","16.7","3.3","6.7",".",".",".",".",".",".","3.3",".","."
"Topics in Calculus II","276
001","15","3.433","53.3","6.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","298
015","24","",".",".",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".","."
"","298
081","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study in Math","Course Total","36","",".",".",".",".",".",".",".",".",".","97.2","2.8",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","7","2.857","14.3",".","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","6","3.083","33.3","16.7",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","319
001","73","2.911","27.4","12.3","27.4","8.2","15.1","5.5","4.1",".",".",".",".",".",".",".",".","."
"","319
002","112","3.518","58.0","8.0","24.1","0.9","8.0","0.9",".",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","185","3.278","45.9","9.7","25.4","3.8","10.8","2.7","1.6",".",".",".",".",".",".",".",".","."
