"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","42","3.512","33.3","42.9","19.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"History of Modern Biology","333
001","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","12","2.955","16.7","41.7",".","16.7","8.3",".","8.3","8.3",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531
001","14","3.143","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","28","3.143","21.4","32.1","21.4","10.7","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","10","3.278","30.0","20.0","20.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","668
001","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","668
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","Course Total","13","3.125","30.8","23.1","7.7","15.4","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","Course Total","4","***","","","","","","","","","","","","","","","",""
"Hist Perspectives-Medicine","720
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Ethics and Society","728
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
001","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","15","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","176","3.351","35.8","27.3","15.9","7.4","4.0","1.1","0.6","8.0",".",".",".",".",".",".",".","."
