"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Sophomore","7","4.000","14.3",".",".",".",".","",".","",".","85.7","",".",".","",".","",".",".",".",".","."
"Junior","7","3.778","42.9",".","14.3",".",".","",".","",".","42.9","",".",".","",".","",".",".",".",".","."
"Senior","5","4.000","80.0",".",".",".",".","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","21","3.875","38.1",".","4.8",".",".","",".","",".","57.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","263","3.777","23.6","13.7","1.9",".",".","",".","",".","60.5","",".",".","",".","",".","0.4",".",".","."
"Prof Yr 2","90","4.000","7.8",".",".",".",".","",".","",".","91.1","",".",".","",".","",".","1.1",".",".","."
"Prof Yr 3","277","3.071","23.1","3.2","13.4","2.9","3.2","",".","",".","54.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","419","3.955","49.9",".","0.2",".","0.2","",".","",".","49.6","",".",".","",".","",".",".",".",".","."
"Professionals","1049","3.516","32.6","4.3","4.1","0.8","1.0","",".","",".","57.1","",".",".","",".","",".","0.2",".",".","."
