"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.353","33.3","16.7","33.3","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","101
002","23","3.167","34.8","8.7","17.4","13.0","17.4",".",".","8.7",".",".",".",".",".",".",".","."
"","101
003","24","2.304","4.2","12.5","20.8","12.5","25.0","16.7","4.2","4.2",".",".",".",".",".",".",".","."
"","101
004","20","2.944","30.0","5.0","25.0","5.0","15.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"","005
101","22","2.705","13.6","18.2","22.7","13.6","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","101
006","24","3.063","37.5","12.5","20.8",".","20.8","8.3",".",".",".",".",".",".",".",".",".","."
"","101
007","23","3.174","21.7","21.7","34.8","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","101
008","22","3.227","36.4","9.1","31.8","18.2",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
009","23","2.795","21.7","17.4","26.1","4.3","13.0","4.3","8.7",".",".",".",".",".",".","4.3",".","."
"","101
010","21","2.952","28.6","19.0","14.3",".","33.3","4.8",".",".",".",".",".",".",".",".",".","."
"","101
011","22","2.864","31.8","9.1","18.2","9.1","22.7","4.5","4.5",".",".",".",".",".",".",".",".","."
"","101
012","17","2.912","17.6","11.8","29.4","17.6","23.5",".",".",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","259","2.946","25.9","13.5","24.3","9.3","17.0","5.8","1.5","2.3",".",".",".",".",".","0.4",".","."
"","102
001","17","3.235","29.4","17.6","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","2.765","29.4","5.9","17.6","17.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"","102
003","21","3.048","28.6","19.0","33.3",".","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"","004
102","21","3.262","33.3","14.3","38.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.000","39.1",".","30.4","8.7","8.7","13.0",".",".",".",".",".",".",".",".",".","."
"","102
006","24","2.630","29.2","12.5","12.5",".","25.0","4.2","12.5","4.2",".",".",".",".",".",".",".","."
"","102
007","24","2.958","29.2","12.5","20.8","12.5","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","102
008","23","3.283","47.8","8.7","17.4","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"","102
009","24","3.500","62.5","8.3","12.5","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","102
010","23","3.136","34.8","17.4","21.7",".","17.4",".","4.3","4.3",".",".",".",".",".",".",".","."
"","102
011","24","3.396","45.8","20.8","12.5","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
012","21","3.286","23.8","28.6","33.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
013","23","3.022","26.1","17.4","26.1","4.3","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","102
014","18","2.778","22.2","5.6","38.9","5.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","303","3.101","35.0","13.5","24.1","6.6","13.9","4.3","2.0","0.7",".",".",".",".",".",".",".","."
"","203
001","21","2.929","4.8","23.8","38.1","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","23","3.159","34.8","21.7","21.7",".","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","203
003","23","3.413","30.4","21.7","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.289","42.9","14.3","19.0",".","9.5",".","4.8","9.5",".",".",".",".",".",".",".","."
"","203
005","21","3.048","33.3","14.3","28.6","4.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","203
006","23","3.283","39.1","26.1","13.0","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","203
007","24","3.292","29.2","25.0","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
008","24","3.326","45.8","16.7","12.5","4.2","12.5","4.2",".","4.2",".",".",".",".",".",".",".","."
"","203
009","23","3.217","17.4","30.4","39.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
010","23","3.000","21.7","8.7","39.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","203
011","24","3.438","41.7","25.0","20.8","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
012","23","2.935","4.3","21.7","47.8","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","203
013","20","3.050","5.0","35.0","45.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
014","23","3.522","47.8","34.8","13.0",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","203
015","22","2.818",".","9.1","77.3",".","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","203
016","24","3.146","12.5","41.7","33.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","203
017","24","3.125","12.5","33.3","33.3","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","203
018","19","3.056","21.1","21.1","31.6","10.5","5.3",".","5.3","5.3",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 311 of 408",""
