"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","65","2.960","21.5","20.0","26.2","9.2","12.3","4.6","3.1","3.1",".",".",".",".",".",".",".","."
"","101
002","63","2.967","23.8","15.9","20.6","12.7","19.0","4.8",".","1.6",".",".",".",".",".",".",".","1.6"
"","101
003","78","3.149","9.0","26.9","51.3","10.3",".","1.3",".","1.3",".",".",".",".",".",".",".","."
"","101
004","65","3.138","30.8","23.1","23.1","10.8","4.6","4.6","3.1",".",".",".",".",".",".",".",".","."
"","101
005","61","3.172","29.5","21.3","31.1","6.6","6.6","1.6","3.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","332","3.081","22.3","21.7","31.3","9.9","8.1","3.3","1.8","1.2",".",".",".",".",".",".",".","0.3"
"","210
001","78","2.954","19.2","19.2","29.5","5.1","17.9","6.4",".",".",".",".",".",".",".",".",".","2.6"
"","210
002","20","2.850","15.0","25.0","20.0","15.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","210
003","67","2.813","19.4","16.4","28.4","6.0","19.4","7.5","3.0",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","165","2.883","18.8","18.8","27.9","6.7","18.8","6.1","1.8",".",".",".",".",".",".",".",".","1.2"
"","211
001","71","3.110","40.8","11.3","12.7","12.7","7.0","11.3",".","4.2",".",".",".",".",".",".",".","."
"","211
002","68","3.154","14.7","38.2","23.5","5.9","10.3","2.9",".","2.9",".",".",".",".",".",".","1.5","."
"","211
003","66","3.569","65.2","13.6","6.1","4.5","4.5","4.5",".","1.5",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","205","3.275","40.0","21.0","14.1","7.8","7.3","6.3",".","2.9",".",".",".",".",".",".","0.5","."
"","241
001","71","3.359","38.0","22.5","23.9","9.9","4.2",".","1.4",".",".",".",".",".",".",".",".","."
"","241
002","75","3.417","45.3","9.3","30.7","4.0","5.3","1.3",".","4.0",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","146","3.388","41.8","15.8","27.4","6.8","4.8","0.7","0.7","2.1",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","42","3.607","52.4","19.0","26.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","73","3.208","17.8","21.9","42.5","16.4",".",".",".",".",".",".",".",".",".",".","1.4","."
"","341
002","138","3.445","45.7","29.7","11.6","2.9","4.3","2.2","2.2","1.4",".",".",".",".",".",".",".","."
"","341
003","77","3.474","45.5","24.7","18.2","2.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","341
004","70","3.419","30.0","32.9","30.0","2.9",".",".","1.4","2.9",".",".",".",".",".",".",".","."
"","341
093","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.400","35.0","35.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","396","3.422","38.9","27.5","21.0","6.3","3.3","0.8","1.0","1.0",".",".",".",".",".",".","0.3","."
"Hist of Ancient Philosophy","430
001","49","3.337","24.5","38.8","30.6",".","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","72","3.181","25.0","29.2","22.2","12.5","8.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","53","3.577","58.5","13.2","15.1","5.7","5.7",".",".",".",".",".",".",".",".",".","1.9","."
"","454
001","13","2.900","15.4","23.1","15.4","7.7","7.7",".","7.7","23.1",".",".",".",".",".",".",".","."
"","454
002","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","30","3.481","46.7","23.3","10.0","3.3","3.3",".","3.3","10.0",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","44","3.337","40.9","18.2","25.0","6.8","2.3","2.3","2.3",".",".",".",".",".","2.3",".",".","."
"Symbolic Logic","511
001","10","2.950",".","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","17","3.563","29.4","47.1","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Philosophy and Literature","526
001","11","3.455","54.5","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","18","3.361","27.8","27.8","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Philos of Moral Education","550
001","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Philosophy of Mind","551
001","23","3.130","4.3","26.1","65.2",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Theories","552
001","22","3.114","13.6","36.4","22.7","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","22","3.409","31.8","54.5","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","17","3.147","23.5","5.9","52.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 279 of 408",""
