"","999
056","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
057","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
058","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
074","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","48","3.948","75.0",".",".",".","2.1",".",".","18.8",".",".","",".",".","4.2",".",".","."
"HISTORY
448","Dept. Total","3895","3.293","28.5","27.3","23.1","7.0","4.2","1.3","1.3","5.9","0.0","0.1","",".","0.3","0.4","0.2","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","298","3.154","13.1","34.2","37.2","9.7","2.7","0.3","2.0",".",".",".","",".",".",".",".","0.3","0.3"
"Sophomore","","682","3.233","22.1","31.2","31.8","7.9","3.4","1.6","1.5",".",".",".","",".",".","0.1","0.3",".","."
"Junior","","926","3.244","24.3","31.0","25.5","9.7","6.2","1.2","1.1","0.8",".",".","",".",".","0.1","0.1","0.1","."
"Senior","","1583","3.319","33.9","27.3","20.7","6.1","4.8","1.8","1.5","2.8","0.1","0.1","",".","0.1","0.4","0.1","0.2","0.1"
"Undergraduates","","3489","3.266","27.3","29.6","25.6","7.7","4.7","1.5","1.4","1.5","0.0","0.1","",".","0.0","0.2","0.1","0.1","0.1"
"Special","","101","3.669","16.8","4.0","4.0","1.0",".",".",".","64.4",".","1.0","",".",".","1.0","3.0","5.0","."
"Graduate","","302","3.887","46.4","7.9","1.7",".","0.3",".",".","38.1",".",".","",".","3.0","1.7",".","1.0","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.850","66.7","33.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3895","3.293","28.5","27.3","23.1","7.0","4.2","1.3","1.3","5.9","0.0","0.1","",".","0.3","0.4","0.2","0.3","0.1"
