"","990
087","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
090","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","26","",".",".",".",".",".",".",".","96.2","3.8",".",".","",".",".",".",".","."
"Spec Work-Ag & Appl Economics","999
073","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"A A E
108","Dept. Total","556","3.153","28.1","19.2","24.8","7.2","10.3","2.3","1.6","5.6","0.2",".",".","",".","0.4",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.090","29.4","17.6","23.5","11.8","9.8","3.9","2.0",".",".",".",".","",".",".",".",".","2.0"
"Sophomore","","113","3.174","25.7","21.2","33.6","8.8","8.8",".","1.8",".",".",".",".","",".",".",".",".","."
"Junior","","101","2.900","17.8","18.8","36.6","3.0","14.9","5.0","4.0",".",".",".",".","",".",".",".",".","."
"Senior","","186","3.120","27.4","23.7","19.4","10.2","14.0","3.2","1.1","1.1",".",".",".","",".",".",".",".","."
"Undergraduates","","451","3.080","25.1","21.3","27.3","8.4","12.4","2.9","2.0","0.4",".",".",".","",".",".",".",".","0.2"
"Special","","10","3.250","30.0","10.0","20.0","10.0","10.0",".",".","20.0",".",".",".","",".",".",".",".","."
"Graduate","","94","3.675","41.5","10.6","13.8","1.1",".",".",".","28.7","1.1",".",".","",".","2.1",".","1.1","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","556","3.153","28.1","19.2","24.8","7.2","10.3","2.3","1.6","5.6","0.2",".",".","",".","0.4",".","0.2","0.2"
