"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","219","2.972","25.1","8.7","33.3","12.3","15.5","3.2","1.4","0.5",".",".",".",".",".",".",".","."
"","300
002","207","2.850","20.3","8.2","40.1","7.2","15.5","4.3","3.9",".",".",".",".",".",".",".",".","0.5"
"","300
010","139","2.801","20.1","9.4","31.7","6.5","23.0","3.6","3.6","1.4","0.7",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","565","2.886","22.1","8.7","35.4","9.0","17.3","3.7","2.8","0.5","0.2",".",".",".",".",".",".","0.2"
"","305
001","67","2.992","7.5","19.4","52.2","3.0","13.4","1.5",".","1.5","1.5",".",".",".",".",".",".","."
"","305
002","65","2.563","4.6","7.7","40.0","13.8","21.5","9.2","1.5","1.5",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","132","2.779","6.1","13.6","46.2","8.3","17.4","5.3","0.8","1.5","0.8",".",".",".",".",".",".","."
"","365
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","18","3.528","33.3","50.0","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","365
003","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","49","3.561","36.7","46.9","10.2","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","10","3.906","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","28","3.536","39.3","35.7","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","36","3.472","27.8","41.7","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","64","3.500","32.8","39.1","23.4","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","28","3.411","28.6","50.0","3.6","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","46","3.489","34.8","43.5","10.9","6.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"","423
001","21","3.775","52.4","42.9",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","423
002","25","3.600","44.0","36.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","46","3.678","47.8","39.1","8.7","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","23","3.196","39.1","4.3","30.4","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","27","3.481","25.9","55.6","11.1","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","20","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","35","3.829","68.6","28.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","704
001","53","3.783","69.8","17.0","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","53","3.774","67.9","18.9","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","57","3.658","40.4","50.9","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","163","3.736","58.9","29.4","11.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","29","3.672","37.9","58.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
