"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","151
001","16","3.656","68.8","6.3","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","151
002","15","3.300","53.3","13.3","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","31","3.484","61.3","9.7","16.1","3.2","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"","155
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","19","3.053","5.3","21.1","52.6","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","17","2.912",".","17.6","58.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","155
005","21","3.405","33.3","19.0","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.289","10.5","47.4","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","147","3.531","46.9","21.1","24.5","6.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","16","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","17","3.059","5.9","47.1","35.3",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","275
005","18","3.472","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","87","3.489","27.6","52.9","16.1","1.1","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"","306
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","332
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","4","***","","","","","","","","","","","","","","","",""
"","375
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","20","3.275","15.0","35.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.250","22.7","36.4","31.8","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
003","20","3.150","30.0","35.0","20.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","397
004","21","3.476","23.8","47.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","18","3.444","38.9","22.2","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","397
006","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","23","3.370","30.4","39.1","26.1",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","397
012","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","21","3.524","28.6","57.1","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
014","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","291","3.564","45.4","33.3","17.5","1.7","0.7",".","1.4",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 124 of 408",""
