"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","87","3.657","64.4","16.1","12.6","3.4",".","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","110","3.362","29.1","40.0","18.2","4.5","4.5","1.8","0.9","0.9",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","20","3.342","30.0","25.0","20.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","121","002","21","3.550","38.1","38.1","9.5","9.5",".",".",".",".",".",".",".",".",".","4.8",".","."
"","121","003","21","3.583","47.6","19.0","4.8","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","62","3.491","38.7","27.4","11.3","14.5",".",".",".","6.5",".",".",".",".",".","1.6",".","."
"","123","001","27","3.538","59.3","14.8","7.4","7.4","3.7","3.7",".",".","3.7",".",".",".",".",".",".","."
"","123","002","24","3.208","29.2","25.0","20.8","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","123","003","25","3.640","52.0","28.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","76","3.467","47.4","22.4","14.5","9.2","2.6","2.6",".",".","1.3",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","56","3.836","75.0","17.9","3.6",".","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","47","3.261","27.7","31.9","12.8","19.1","4.3","2.1",".","2.1",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","30","3.300","30.0","26.7","30.0","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","25","3.604","40.0","36.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","299","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","300","001","14","3.464","50.0","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","300","002","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","21","3.525","47.6","23.8","9.5","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","36","3.653","55.6","27.8","11.1","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","30","3.357","30.0","23.3","23.3","16.7",".",".",".","3.3","3.3",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","28","3.429","25.0","53.6","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","15","3.793","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","22","3.341","13.6","50.0","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","56","3.321","28.6","35.7","16.1","14.3","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","24","3.477","54.2","20.8","8.3",".","4.2","8.3",".",".",".",".",".",".","4.2",".",".","."
"Intermed Tech Japanese II","375","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","11","3.797","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","16","3.438","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","31","3.614","54.8","22.6","16.1","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 199 of 408",""
