"","990
035","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","35","",".",".",".",".",".",".",".","77.1","",".",".",".","17.1","",".",".","5.7","."
"FOOD SCI
390","Dept. Total","909","3.193","28.4","22.2","18.2","8.6","6.4","3.0","1.0","7.3","",".","4.0",".","0.7","",".",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","81","3.065","19.8","23.5","17.3","12.3","7.4","2.5","2.5",".","",".","14.8",".",".","",".",".",".","."
"Sophomore","","154","3.063","25.3","20.1","12.3","11.0","10.4","5.8","0.6",".","",".","14.3",".",".","",".",".",".","."
"Junior","","208","3.142","33.7","23.6","17.3","10.1","8.2","2.4","2.9","1.0","",".","0.5",".",".","",".",".",".","0.5"
"Senior","","356","3.281","32.9","23.9","22.8","7.6","5.1","3.1",".","4.2","",".","0.3",".",".","",".",".",".","0.3"
"Undergraduates","","799","3.183","30.3","23.0","18.8","9.4","7.1","3.4","1.1","2.1","",".","4.5",".",".","",".",".",".","0.3"
"Special","","6","3.118","16.7","33.3","33.3",".","16.7",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","103","3.418","13.6","15.5","12.6","2.9",".",".",".","47.6","",".",".",".","5.8","",".",".","1.9","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","909","3.193","28.4","22.2","18.2","8.6","6.4","3.0","1.0","7.3","",".","4.0",".","0.7","",".",".","0.2","0.2"
