"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3289","3.319","34.7","22.4","19.9","8.5","5.2","1.4","1.0","5.9","",".","0.4","0.1","",".","0.2","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","334","3.095","23.1","21.6","29.0","12.0","9.9","1.8","1.2",".","",".","0.6",".","",".",".","0.3",".","0.6"
"Sophomore","","641","3.317","35.4","24.3","22.0","9.5","5.1","0.9","1.1",".","",".","0.9",".","",".","0.3","0.2",".","0.2"
"Junior","","917","3.276","32.1","27.3","22.6","9.2","4.8","2.3","1.2","0.1","",".","0.1","0.1","",".","0.1","0.2",".","."
"Senior","","988","3.363","38.3","21.9","19.6","9.3","6.1","1.1","0.8","2.0","",".","0.3","0.1","",".","0.3","0.2",".","."
"Undergraduates","","2880","3.292","33.9","24.1","22.2","9.6","5.9","1.5","1.0","0.7","",".","0.4","0.1","",".","0.2","0.2",".","0.1"
"Special","","21","2.798","33.3","23.8","9.5","9.5","4.8","4.8","9.5","4.8","",".",".",".","",".",".",".",".","."
"Graduate","","387","3.821","40.6","9.8","3.9","0.3",".",".",".","44.7","",".",".",".","",".","0.5",".",".","0.3"
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","3289","3.319","34.7","22.4","19.9","8.5","5.2","1.4","1.0","5.9","",".","0.4","0.1","",".","0.2","0.2",".","0.1"
