"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.500","52.9","5.9","23.5","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","101
002","22","3.976","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","101
004","20","3.275","50.0","10.0","15.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
005","18","3.528","44.4","38.9","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","101
006","19","3.579","52.6","10.5","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","22","3.568","59.1","13.6","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
011","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","15","3.700","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","152","3.610","63.2","13.2","13.8","4.6","2.0","0.7","1.3","0.7",".",".",".",".","0.7",".",".","."
"","102
001","20","3.200","25.0","25.0","40.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","102
002","22","3.205","27.3","13.6","45.5",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","102
004","23","3.609","47.8","30.4","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","22","3.523","50.0","22.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
006","25","3.729","60.0","20.0","16.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","102
007","19","3.184","10.5","47.4","26.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","102
009","22","3.500","31.8","45.5","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","21","3.238","4.8","38.1","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","16","3.438","43.8","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","190","3.413","34.2","29.5","26.8","4.2","4.2",".","0.5","0.5",".",".",".",".",".",".",".","."
"Second Semester Italian Honors","182
001","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","25","3.542","48.0","16.0","24.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","201
003","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","45","3.648","55.6","20.0","17.8","4.4",".",".",".","2.2",".",".",".",".",".",".",".","."
"","203
001","13","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","20","3.375","35.0","25.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","13","3.500","23.1","46.2","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","63","3.452","31.7","34.9","23.8","6.3","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"","204
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","19","3.833","68.4","21.1","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","204
003","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","52","3.745","57.7","32.7","5.8","1.9",".",".",".","1.9",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","14","3.286","50.0","21.4","7.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","19","3.750","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","10","3.250","30.0",".","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Lineamenti Di Lett Italiana","632
001","12","3.900","75.0",".","8.3",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Senior Honors Thesis","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","952
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 243 of 408",""
