"","575
006","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
007","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","17","3.833","70.6","29.4",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues Seminar","001
640","21","3.500","61.9","4.8","19.0",".","14.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","216","3.591","51.4","24.1","20.8","1.4","2.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","4","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.513","30.3","39.4","30.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","177","3.623","57.1","22.0","16.4","1.7","2.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","215","3.593","51.6","24.2","20.5","1.4","2.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","216","3.591","51.4","24.1","20.8","1.4","2.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
