"BUS","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","1905","3.311","32.8","24.4","24.4","9.2","6.6","1.5","0.5","0.7","0.1",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","2.984","25.0","9.4","31.3","12.5","18.8","3.1",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","316","3.160","25.3","24.4","22.2","18.4","7.6","1.9","0.3",".",".",".","",".","",".","",".",".",".","."
"Junior","","635","3.304","33.1","24.9","23.8","9.1","6.9","1.4","0.3","0.5",".",".","",".","",".","",".",".",".","."
"Senior","","696","3.332","31.2","26.0","26.3","6.5","6.5","1.6","0.9","1.0","0.1",".","",".","",".","",".",".",".","."
"Undergraduates","","1679","3.284","30.7","25.0","24.7","9.8","7.1","1.6","0.5","0.6","0.1",".","",".","",".","",".",".",".","."
"Special","","23","2.932","26.1","13.0","26.1","8.7","13.0","4.3","4.3","4.3",".",".","",".","",".","",".",".",".","."
"Graduate","","201","3.588","51.2","20.9","21.4","4.0","1.5",".",".","1.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","3.000",".",".","50.0",".",".",".",".","50.0",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.000",".",".","50.0",".",".",".",".","50.0",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1905","3.311","32.8","24.4","24.4","9.2","6.6","1.5","0.5","0.7","0.1",".","",".","",".","",".",".",".","."
