"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","23","3.835","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Cultrl St","210","001","","22","3.650","45.5","31.8","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".","4.5"
"Chicana and Latina History","245","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Chicano/a Studies","330","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Lit","357","001","","16","3.469","12.5","75.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","","21","3.196","14.3","38.1","28.6",".","4.8","4.8",".","9.5",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
