"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","12","3.208","50.0","16.7","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","160
002","21","3.381","52.4","19.0","14.3",".","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","160
003","22","3.550","50.0","13.6","13.6","13.6",".",".",".",".",".",".",".",".","4.5","4.5",".","."
"Architectural Graphics","Course Total","55","3.406","50.9","16.4","12.7","7.3","5.5",".","3.6",".",".",".",".",".","1.8","1.8",".","."
"","170
001","19","3.395","42.1","21.1","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","170
002","23","3.239","21.7","30.4","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","170
003","24","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","66","3.409","37.9","25.8","21.2","10.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","97","3.318","36.1","23.7","23.7","10.3","1.0","2.1","2.1",".",".",".",".",".",".","1.0",".","."
"","240
001","44","2.432","13.6","15.9","13.6","15.9","20.5","11.4","9.1",".",".",".",".",".",".",".",".","."
"","240
002","49","2.622","12.2","14.3","18.4","16.3","30.6","6.1","2.0",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","93","2.532","12.9","15.1","16.1","16.1","25.8","8.6","5.4",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","12","3.850","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","15","3.977","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.909","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","43","2.884","20.9","18.6","23.3","14.0","14.0","7.0","2.3",".",".",".",".",".",".",".",".","."
"","306
002","58","2.759","13.8","19.0","20.7","22.4","13.8","8.6","1.7",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","101","2.812","16.8","18.8","21.8","18.8","13.9","7.9","2.0",".",".",".",".",".",".",".",".","."
"","307
001","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","14","3.429","42.9","14.3","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
003","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","16","3.594","43.8","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","15","3.367","33.3","33.3","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","307
011","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","127","3.567","45.7","28.3","22.8",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","313
001","46","3.283","26.1","23.9","34.8","10.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"","313
002","45","3.222","26.7","17.8","33.3","17.8","4.4",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","91","3.253","26.4","20.9","34.1","14.3","4.4",".",".",".",".",".",".",".",".",".",".","."
"","314
001","39","3.167","15.4","30.8","28.2","23.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","314
002","30","3.200","23.3","33.3","16.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","69","3.181","18.8","31.9","23.2","18.8","7.2",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","69","2.964","7.2","34.8","33.3","13.0","4.3","4.3","2.9",".",".",".",".",".",".",".",".","."
"","340
001","53","2.849","9.4","11.3","32.1","34.0","13.2",".",".",".",".",".",".",".",".",".",".","."
"","002
340","38","2.908","10.5","15.8","31.6","28.9","13.2",".",".",".",".",".",".",".",".",".",".","."
"","340
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","93","2.882","9.7","14.0","32.3","31.2","12.9",".",".",".",".",".",".",".",".",".",".","."
