"EGR","","","","","","","","","","","","","","","","","","","","","",""
"CHEMICAL & BIOLOGICAL ENGR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","",""
"CBE
Dept. Total
220","681","3.129","28.8","15.0","17.9","6.6","10.4","2.6","0.9","17.2","",".","0.6","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","18","2.442","22.2","5.6","22.2","5.6","27.8","5.6","11.1",".","",".",".","",".","",".","",".",".",".","."
"Junior","112","2.838","25.9","14.3","22.3","12.5","16.1","6.3","2.7",".","",".",".","",".","",".","",".",".",".","."
"Senior","354","3.157","34.7","18.9","20.9","8.5","13.6","2.8","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","484","3.052","32.2","17.4","21.3","9.3","14.7","3.7","1.2","0.2","",".",".","",".","",".","",".",".",".","."
"Special","4","4.000","75.0",".",".",".",".",".",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","203","3.599","23.2","8.9","9.4",".",".",".",".","56.7","",".","2.0","",".","",".","",".",".",".","."
"Dept. Total","691","3.129","29.8","14.8","17.7","6.5","10.3","2.6","0.9","16.9","",".","0.6","",".","",".","",".",".",".","."
