"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","105
004","29","3.685","62.1","17.2","6.9",".","6.9",".",".",".",".",".",".",".",".","6.9",".","."
"","105
006","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","105
007","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
008","7","3.214","71.4",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","105
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","118","3.793","83.1","6.8","2.5","1.7","2.5",".","1.7",".",".",".",".",".",".","1.7",".","."
"","110
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","110
002","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","25","3.875","80.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"","115
003","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
008","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
011","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","115
014","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","11","3.722","54.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","18.2"
"Human Dev: Ed Effectiveness","Course Total","78","3.868","82.1","9.0","3.8","1.3","1.3",".",".",".",".",".",".",".",".",".",".","2.6"
"","125
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","125
002","12","3.125","50.0",".","16.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","125
003","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial&Socioecon Persp-1st Yr","Course Total","25","3.480","64.0","4.0","16.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","620
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
012","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","31","3.696","58.1","6.5","12.9","3.2","3.2",".",".","3.2",".",".",".",".",".",".","12.9","."
"Theory & Prac-Interviewing","650
001","112","3.772","80.4","8.0","6.3","3.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 79 of 408"
