"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1605","3.158","31.4","21.0","21.4","8.7","8.0","4.0","1.4","2.7","0.1","0.5","",".","0.4","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","124","2.878","19.4","19.4","21.8","14.5","19.4","5.6",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","364","3.118","28.3","23.4","24.5","10.2","7.1","4.7","1.4",".",".","0.3","",".",".",".","0.3",".","."
"Junior","","434","3.065","25.3","23.7","24.9","9.2","9.2","4.1","2.3","0.2","0.2","0.7","",".",".",".",".",".","."
"Senior","","498","3.208","37.6","18.3","20.5","8.4","7.6","4.4","1.0","2.2",".",".","",".",".",".",".",".","."
"Undergraduates","","1420","3.112","29.9","21.3","23.0","9.6","9.0","4.5","1.4","0.8","0.1","0.3","",".",".",".","0.1",".","."
"Special","","59","3.344","27.1","30.5","15.3","3.4",".","1.7","3.4","8.5",".","5.1","",".",".",".",".","3.4","."
"Graduate","","126","3.775","50.8","12.7","7.1","0.8",".",".",".","20.6",".","0.8","",".","5.6","0.8","0.8",".","."
"","Dept. Total","1605","3.158","31.4","21.0","21.4","8.7","8.0","4.0","1.4","2.7","0.1","0.5","",".","0.4","0.1","0.1","0.1","."
