"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","17","3.353","41.2","29.4","5.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","19","3.605","52.6","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","69","3.638","62.3","17.4","11.6","2.9","5.8",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","3.737","68.4","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","19","3.737","73.7",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
024","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.958","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","18","3.611","66.7","16.7","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","375
002","","11","3.500","72.7","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","375
003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","47","3.734","80.9","8.5","4.3","2.1",".","2.1","2.1",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","22","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","20","3.575","50.0","25.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","24","3.792","83.3","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","19","3.395","42.1","26.3","26.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serv Learning: Adv Video Prod","620
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","9","3.432","55.6",".","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"","699
024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","20","3.663","70.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","875
002","","24","3.833","95.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","875
003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
004","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
005","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.853","83.1","13.6","1.7",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Smr-Sci & Envir Communication","960
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
