"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","371","3.865","83.6","11.3","2.2","","1.1 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","113","3.755","77.9","15.0","2.7","2.7","0.9","",".","",".","",".",".",".",".","",".","",".",".",".","0.9"
"Sophomore","","93","3.913","82.8","16.1",".",".",".","",".","",".","",".","1.1",".",".","",".","",".",".",".","."
"Junior","","72","3.938","90.3","6.9","2.8",".",".","",".","",".","",".",".",".",".","",".","",".",".",".","."
"Senior","","90","3.881","87.8","5.6","3.3","1.1",".","",".","",".","",".",".",".",".","",".","",".",".",".","2.2"
"Undergraduates","","368","3.863","84.0","11.4","2.2","1.1","0.3","",".","",".","",".","0.3",".",".","",".","",".",".",".","0.8"
"Special","","7","4.000","71.4",".",".",".",".","",".","",".","",".",".",".",".","",".","",".","14.3","14.3","."
"","College Total","375","3.865","83.7","11.2","2.1","1.1","0.3","",".","",".","",".","0.3",".",".","",".","",".","0.3","0.3","0.8"
