"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Pro Prac Iss-Acct & Auditng","601
001","","69","3.609","33.3","56.5","8.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","43","3.512","48.8","9.3","37.2","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","39","3.705","66.7","12.8","17.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","","82","3.604","57.3","11.0","28.0","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","38","3.105","28.9","13.2","31.6","18.4","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"","620
002","","41","3.390","26.8","39.0","19.5","14.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","79","3.253","27.8","26.6","25.3","16.5","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","","27","3.327","40.7","3.7","37.0","7.4","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","42","3.202","28.6","14.3","40.5","2.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","702
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","","17","3.353","35.3",".","64.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","21","3.381","38.1",".","61.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","","14","3.250","28.6","28.6","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","32","3.625","43.8","46.9",".","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","45","3.611","42.2","44.4","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","771
001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","971
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","971
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","Course Total","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Accounting","990
136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","7","3.672","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
