"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","173","3.175","16.2","41.0","27.2","5.2","4.0","2.9","2.3","0.6",".",".",".",".",".","0.6",".","."
"","120","001","105","2.665","16.2","19.0","16.2","12.4","16.2","18.1",".","1.0","1.0",".",".",".",".",".",".","."
"","120","002","143","2.738","17.5","18.2","20.3","17.5","12.6","10.5","3.5",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","248","2.707","16.9","18.5","18.5","15.3","14.1","13.7","2.0","0.4","0.4",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","41","3.500","43.9","22.0","26.8","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","34","2.574","17.6","8.8","20.6","11.8","26.5","11.8","2.9",".",".",".",".",".",".",".",".","."
"","170","001","47","3.202","25.5","34.0","21.3","10.6","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","170","002","170","3.207","29.4","24.1","20.6","11.2","7.1","3.5","0.6","3.5",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","","Course Total","217","3.206","28.6","26.3","20.7","11.1","6.5","2.8","1.4","2.8",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","3.143","42.9","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","2.882","22.2","5.6","16.7","27.8","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","37","3.622","40.5","43.2","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","40","3.263","25.0","32.5","30.0","5.0","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","25","3.021","24.0","12.0","28.0","8.0","24.0",".",".",".",".",".",".",".",".","4.0",".","."
"","339","001","38","2.645","10.5","13.2","31.6","10.5","23.7","7.9","2.6",".",".",".",".",".",".",".",".","."
"","339","002","47","2.606","14.9","10.6","27.7","12.8","19.1","10.6","4.3",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","85","2.624","12.9","11.8","29.4","11.8","21.2","9.4","3.5",".",".",".",".",".",".",".",".","."
"The American West","344","001","42","3.276","31.0","16.7","31.0","4.8","4.8",".","2.4","9.5",".",".",".",".",".",".",".","."
"Europe","349","001","194","3.359","41.2","16.5","24.2","8.8","5.7","2.1",".","1.5",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","58","2.914","20.7","8.6","34.5","15.5","15.5","5.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","37","3.189","35.1","10.8","32.4","10.8","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","27","3.058","25.9","14.8","25.9","18.5","7.4",".","3.7","3.7",".",".",".",".",".",".",".","."
"Seminar","401","001","17","3.412","58.8","11.8","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","15","3.367","40.0","20.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quaternary Vegetation Dynamics","523","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Quaternary Period","527","001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","50","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animated & Web-based Mapping","575","001","35","3.400","40.0","28.6","22.9",".","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","26","3.538","26.9","53.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","10","",".",".",".",".",".",".",".",".",".","70.0",".",".",".",".","20.0","."
"Special Topics in Geography","676","001","14","3.286","21.4","28.6","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 218 of 408",""
