"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","80","2.870","20.0","8.8","32.5","11.3","20.0",".","3.8","3.8",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","34","3.412","20.6","47.1","26.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","70","3.029","24.3","15.7","27.1","18.6","8.6","5.7",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","32","3.422","21.9","40.6","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","68","2.816","5.9","17.6","33.8","25.0","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"","299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","","Course Total","","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","39","3.566","59.0","7.7","20.5","5.1","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","9","3.278","33.3","33.3","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","420","001","","23","3.477","34.8","52.2",".","4.3",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","420","002","","21","3.725","47.6","42.9","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Twentieth Century Design","","Course Total","","44","3.595","40.9","47.7","2.3","2.3",".",".","2.3","4.5",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","41","3.537","43.9","26.8","24.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","20","3.350","35.0","25.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","35","3.800","68.6","22.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory: Environ Context","520","001","","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","31","3.452","32.3","45.2","19.4",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","000A","","18","3.462","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 148 of 408",""
