"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"Second Semester Greek","104
001","","10","3.250","20.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".","20.0",".","."
"Second Semester Greek","304
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Greek","306
001","","15","3.667","66.7","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Homer","510
001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Directed Study","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Drama","920
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","56","3.646","57.1","17.9","8.9","3.6","3.6",".",".","3.6",".",".",".",".",".","5.4",".","."
