"Master's Research or Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","","",""
"","890
029","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
057","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Pre-Dissertator's Research","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","","53","3.532","39.6","30.2","11.3","",".","3.8","",".","",".","15.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.750","50.0","50.0",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","6","3.833","66.7","33.3",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.357","50.0","25.0","25.0","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.430","34.8","39.1","17.4","",".","8.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","39","3.480","43.6","38.5","12.8","",".","5.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","14","3.750","28.6","7.1","7.1","",".",".","",".","",".","57.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","53","3.532","39.6","30.2","11.3","",".","3.8","",".","",".","15.1","",".",".","",".","",".","",".",".",".","."
