"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","8","3.763","62.5","12.5",".","12.5","",".","",".","",".",".","",".",".","",".",".","",".","12.5",".","."
"Undergraduates","12","3.839","75.0","8.3",".","8.3","",".","",".","",".",".","",".",".","",".",".","",".","8.3",".","."
"Special","3","3.667","33.3","33.3",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Graduate","113","3.750","52.2","11.5","8.0","0.9","",".","",".","",".","22.1","",".",".","",".","5.3","",".",".",".","."
"Prof Yr 1","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","11","3.944","54.5","9.1",".",".","",".","",".","",".","36.4","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","21","3.972","71.4","4.8",".",".","",".","",".","",".","23.8","",".",".","",".",".","",".",".",".","."
