"LAW","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"","740","002","","33","0.939","6.1",".","21.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","","Course Total","","87","0.953","8.0",".","18.4",".","2.3","1.1",".","2.3",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741","001","","55","1.151","7.3","3.6","21.8",".","1.8",".",".","3.6",".",".",".",".",".",".",".","."
"","743","001","","13","1.154","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","002","","16","1.438","18.8",".","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","29","1.310","20.7",".","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744","001","","66","1.018","9.1",".","16.7",".",".",".",".","15.2",".",".",".",".",".",".",".","."
"Labor Relations Law","745","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Legislation","746","001","","42","0.900","7.1",".","11.9",".",".",".",".","26.2",".",".",".",".","2.4",".",".","."
"Protective Labor Legislatn","747","001","","14","1.571","14.3",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Patent Law","751","001","","35","1.765","25.7",".","17.1",".","8.6",".",".","2.9",".",".",".",".",".",".",".","."
"Equal Employment Law","765","001","","42","1.016","2.4",".","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","771","001","","16","1.375","6.3",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773","001","","20","1.500","5.0",".","30.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","801","001","","66","1.423","9.1",".","24.2",".","1.5",".",".","21.2",".",".",".",".",".",".",".","."
"","801","002","","42","1.000","14.3",".","9.5",".","2.4",".",".","9.5",".",".",".",".",".",".",".","."
"Evidence","","Course Total","","108","1.244","11.1",".","18.5",".","1.9",".",".","16.7",".",".",".",".",".",".",".","."
"","802","001","","59","1.068","5.1",".","22.0",".","8.5","3.4",".",".",".",".",".",".",".",".",".","."
"","802","002","","42","1.366","9.5",".","23.8",".","11.9",".",".","2.4",".",".",".",".",".",".",".","."
"","802","003","","76","1.105","6.6",".","23.7",".","6.6",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure II","","Course Total","","177","1.153","6.8",".","23.2",".","8.5","1.1",".","0.6",".",".",".",".",".",".",".","."
"","808","001","","16","1.705","12.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","002","","10","1.100","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","003","","7","1.571","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","","33","1.526","18.2",".","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","002","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","","Course Total","","67","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817","001","","39","1.314","12.8",".","20.5",".","2.6",".",".","10.3",".",".",".",".",".",".",".","."
"Conflict of Laws","820","001","","29","1.345","13.8",".","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Bankruptcy Law","821","001","","47","1.854","21.3",".","25.5",".",".",".","2.1","12.8",".",".",".",".",".",".",".","."
"Family Law I","822","001","","7","1.214",".",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law II","823","001","","38","1.737","23.7",".","21.1",".","7.9",".",".",".",".",".",".",".",".",".",".","."
"Insurance Law","825","001","","27","1.154","11.1",".","22.2",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"International Law","827","001","","37","0.973","8.1",".","21.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Transactions","828","001","","40","2.474","22.5","12.5","27.5",".","12.5",".",".","2.5",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838","001","","24","1.550","12.5",".","20.8",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Taxation II","840","001","","30","1.920","26.7",".","13.3",".","6.7",".",".","16.7",".",".",".",".",".",".",".","."
"Taxation of Trusts&Estates","844","001","","13","1.364","7.7",".","23.1",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
