"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"468
Language Diction-Singing","001","","12","3.682","50.0","33.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"497","005","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"499","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.833","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"50
Concert Choir","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"513
Survey of Opera","001","","14","3.808","71.4","7.1","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"52
Women's Chorus","001","","22","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","46","3.886","91.3",".","2.2",".",".",".","2.2","4.3",".",".",".",".",".",".",".","."
"530
Jazz Improvisation","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"543
Advanced String Pedagogy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Practcm-Adv String Pedagogy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"546
String Literature","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","45","3.922","93.3",".","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"554","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"554","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting","Course Total","","3","***","","","","","","","","","","","","","","","",""
"556
University Opera","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"557
Opera Workshop","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","62","3.847","91.9","4.8",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"560
Prac Adv Studio Teach-Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","3","***","","","","","","","","","","","","","","","",""
"565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"565","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Advanced Ensemble-Brass","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"568","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 270 of 408",""
