"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","215","3.245","23.3","28.4","34.0","5.6","6.5","1.9",".","0.5",".",".",".",".",".",".",".","."
"","300
002","230","3.220","17.4","32.2","35.2","8.3","6.5","0.4",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","445","3.232","20.2","30.3","34.6","7.0","6.5","1.1",".","0.2",".",".",".",".",".",".",".","."
"","305
001","58","3.310","29.3","29.3","24.1","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"","305
002","44","3.364","29.5","34.1","27.3","2.3","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","102","3.333","29.4","31.4","25.5","5.9","6.9","1.0",".",".",".",".",".",".",".",".",".","."
"","310
001","47","3.372","23.4","36.2","31.9","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","40","3.438","27.5","45.0","17.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","87","3.402","25.3","40.2","25.3","8.0","1.1",".",".",".",".",".",".",".",".",".",".","."
"","365
001","46","3.641","34.8","58.7","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","47","3.681","44.7","51.1","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","365
003","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","111","3.685","44.1","50.5","4.5",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","399
138","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
161","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","415
001","40","3.425","17.5","52.5","27.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","38","3.365","28.9","23.7","34.2","10.5",".",".",".","2.6",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","425
001","30","3.534","30.0","43.3","23.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","460
002","49","3.480","20.4","55.1","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","40","3.588","47.5","27.5","22.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","460
004","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","106","3.585","40.6","37.7","20.8",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","45","3.744","53.3","42.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","45","3.022","17.8","20.0","35.6","11.1","11.1","4.4",".",".",".",".",".",".",".",".",".","."
"","002
640","44","2.905","11.4","15.9","36.4","6.8","25.0",".",".","2.3",".",".",".",".",".",".",".","2.3"
"Retail Management","Course Total","89","2.966","14.6","18.0","36.0","9.0","18.0","2.2",".","1.1",".",".",".",".",".",".",".","1.1"
"Logistics Strategies","646
001","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","25","3.600","32.0","56.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","36","3.736","50.0","47.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","42","3.859","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","107","3.852","74.8","24.3","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
220","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
