"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Community Health Nursing","444
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","24","3.735","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","6","3.519","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","88","3.729","61.4","28.4","6.8","1.1","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.600","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","20","3.798","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","66","3.713","60.6","28.8","6.1","1.5","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"Undergraduates","","","88","3.729","61.4","28.4","6.8","1.1","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"","Dept. Total","","88","3.729","61.4","28.4","6.8","1.1","1.1",".",".",".",".",".",".",".","1.1",".",".","."
