"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadership & Pol Anal","502","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","047","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742","001","","14","3.607","71.4","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Eval:Adm Decision Making-Ed","826","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Financng Elem&Secondry Educ","830","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831","001","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Legal Aspects of Higher Ed","841","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","847","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","847","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","","Course Total","","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Org Theory&Behavior in Educ","860","001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","14","3.885","85.7",".",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Smr-Dissertation Rsch","925","001","","22","3.800","18.2",".","4.5",".",".",".",".",".",".",".",".",".","77.3",".",".","."
"","940","001","","12","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","940","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","46","3.921","87.0","4.3","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","990","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"","990","032","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","10","",".",".",".",".",".",".",".","80.0",".",".",".","10.0","10.0",".",".","."
"","990","040","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 88 of 408"
